"","country","continent","variable","value"
"536","Iran","Asia","active_cases",413106
"537","Iraq","Asia","active_cases",143669
"538","Ireland","Europe","active_cases",28192
"539","Isle Of Man","Europe","active_cases",1366
"540","Israel","Asia","active_cases",18464
"541","Italy","Europe","active_cases",87285
"542","Jamaica","North America","active_cases",4726
"543","Japan","Asia","active_cases",63604
"544","Jordan","Asia","active_cases",10162
"545","Kazakhstan","Asia","active_cases",93366
"546","Kenya","Africa","active_cases",10346
"547","Kuwait","Asia","active_cases",11449
"548","Kyrgyzstan","Asia","active_cases",16003
"549","Laos","Asia","active_cases",3488
"550","Latvia","Europe","active_cases",724
"551","Lebanon","Asia","active_cases",16363
"552","Lesotho","Africa","active_cases",5885
"553","Liberia","Africa","active_cases",2533
"554","Libya","Africa","active_cases",54627
"555","Liechtenstein","Europe","active_cases",17
"556","Lithuania","Europe","active_cases",9094
"557","Luxembourg","Europe","active_cases",1181
"558","Macedonia","Europe","active_cases",525
"559","Madagascar","Africa","active_cases",582
"560","Malawi","Africa","active_cases",12502
"561","Malaysia","Asia","active_cases",189609
"562","Maldives","Asia","active_cases",2613
"563","Mali","Africa","active_cases",107
"564","Malta","Europe","active_cases",2243
"565","Marshall Islands","Australia/Oceania","active_cases",0
"566","Martinique","North America","active_cases",18934
"567","Mauritania","Africa","active_cases",2901
"568","Mauritius","Africa","active_cases",2040
"569","Mayotte","Africa","active_cases",16356
"570","Mexico","North America","active_cases",384878
"571","Micronesia","Australia/Oceania","active_cases",0
"572","Moldova","Europe","active_cases",1172
"573","Monaco","Europe","active_cases",149
"574","Mongolia","Asia","active_cases",-1489
"575","Montenegro","Europe","active_cases",1326
"576","Montserrat","North America","active_cases",1
"577","Morocco","Africa","active_cases",51813
"578","Mozambique","Africa","active_cases",32214
"579","Myanmar","Asia","active_cases",80339
"580","Namibia","Africa","active_cases",20628
"581","Nepal","Asia","active_cases",31355
"582","Netherlands","Europe","active_cases",179680
"583","New Caledonia","Australia/Oceania","active_cases",76
"584","New Zealand","Australia/Oceania","active_cases",45
